iter	Logloss
0	0.6930770604
1	0.6930427517
2	0.6929905193
3	0.6929402425
4	0.6928749181
5	0.6928204089
6	0.6927837517
7	0.6927469082
8	0.6926897322
9	0.6926395871
10	0.6926074417
11	0.6925494932
12	0.6925147516
13	0.6924593545
14	0.6924012354
15	0.6923449021
16	0.6922811015
17	0.6922198897
18	0.692193753
19	0.692148335
20	0.6920920958
21	0.6920327752
22	0.6919874671
23	0.6919279643
24	0.6918991214
25	0.6918434994
26	0.6917933859
27	0.6917450109
28	0.6917017891
29	0.6916708167
30	0.691625454
31	0.6915708644
32	0.6915305057
33	0.6914679941
34	0.6914355248
35	0.6913927342
36	0.6913509422
37	0.6913149077
38	0.6912555264
39	0.6911989215
40	0.6911476172
41	0.6910902778
42	0.6910352171
43	0.6909879463
44	0.6909594558
45	0.690925988
46	0.6908906043
47	0.6908432761
48	0.6907900451
49	0.6907340716
50	0.6906937897
51	0.6906445137
52	0.6905846488
53	0.6905323181
54	0.6905054972
55	0.6904491109
56	0.6904026142
57	0.6903715787
58	0.6903192122
59	0.690263957
60	0.6902176462
61	0.6901943456
62	0.6901736415
63	0.6901297673
64	0.6900637608
65	0.6900124091
66	0.6899522231
67	0.6899235097
68	0.6898604179
69	0.6898180631
70	0.6897706542
71	0.6897445658
72	0.6896955286
73	0.6896643478
74	0.689607956
75	0.6895813292
76	0.689523286
77	0.6894731618
78	0.6894277111
79	0.689376679
80	0.6893394503
81	0.6892922792
82	0.6892529262
83	0.6892078669
84	0.6891716364
85	0.6891193054
86	0.6890770015
87	0.6890376026
88	0.6889908547
89	0.6889661752
90	0.6889120118
91	0.6888751283
92	0.6888384525
93	0.6887889165
94	0.6887276498
95	0.6886750212
96	0.6886282236
97	0.6885750858
98	0.6885168643
99	0.6884832914
100	0.6884221625
101	0.6883899406
102	0.688342615
103	0.688272768
104	0.6882319193
105	0.6881734347
106	0.6881272831
107	0.6880795738
108	0.6880372836
109	0.687986165
110	0.6879630659
111	0.6879274828
112	0.6878735418
113	0.6878217776
114	0.6877714669
115	0.6877271423
116	0.6876867797
117	0.6876522954
118	0.6876065513
119	0.6875625321
120	0.6875188763
121	0.6874668554
122	0.6874083614
123	0.6873822631
124	0.6873313815
125	0.6872813493
126	0.6872470533
127	0.6872172599
128	0.6871678694
129	0.6871324365
130	0.6870800773
131	0.6870237999
132	0.6869744287
133	0.6869539572
134	0.6869139308
135	0.6868638949
136	0.686809554
137	0.6867554513
138	0.6867275213
139	0.6866792007
140	0.6866445273
141	0.6865856175
142	0.6865452199
143	0.6865081355
144	0.6864653469
145	0.6864200818
146	0.6863880872
147	0.6863357999
148	0.6862821829
149	0.6862359794
150	0.6862000871
151	0.6861476663
152	0.6860913487
153	0.6860579984
154	0.6860142456
155	0.6859701518
156	0.6859308701
157	0.6858829085
158	0.6858498371
159	0.6857894602
160	0.6857413115
161	0.6857120689
162	0.6856557575
163	0.685627074
164	0.6855795083
165	0.6855443049
166	0.6854905611
167	0.6854492151
168	0.6854204876
169	0.6853712713
170	0.6853254486
171	0.6852826215
172	0.6852472681
173	0.6852016081
174	0.6851497179
175	0.6851128043
176	0.6850576418
177	0.6850187709
178	0.6849834905
179	0.6849284554
180	0.6848957266
181	0.6848594761
182	0.684799724
183	0.6847656143
184	0.6847526928
185	0.684714541
186	0.6846845078
187	0.6846597584
188	0.6846066863
189	0.6845520176
190	0.6845099209
191	0.6844527165
192	0.6844043561
193	0.6843808754
194	0.6843312956
195	0.684302225
196	0.6842636128
197	0.6842156332
198	0.6841761396
199	0.6841314154
200	0.6841020433
201	0.6840467048
202	0.6840014234
203	0.6839627394
204	0.6839360217
205	0.6839018575
206	0.6838572359
207	0.6838140492
208	0.6837605719
209	0.6836978124
210	0.6836730224
211	0.6836221549
212	0.6835757187
213	0.6835468555
214	0.6834986643
215	0.6834564833
216	0.6834251503
217	0.6833803536
218	0.6833414103
219	0.6833063893
220	0.6832735689
221	0.6832271721
222	0.6831780413
223	0.6831468868
224	0.6831282567
225	0.6831109962
226	0.6830766591
227	0.6830374091
228	0.6830035291
229	0.6829532929
230	0.6829115158
231	0.6828670852
232	0.6828134924
233	0.6827593932
234	0.6827185677
235	0.682681444
236	0.6826577732
237	0.6826333395
238	0.6825821662
239	0.6825380576
240	0.6825009424
241	0.6824650591
242	0.6824130874
243	0.6823955692
244	0.6823574602
245	0.6823082385
246	0.6822642837
247	0.6822282854
248	0.6821834416
249	0.68216667
250	0.6821345792
251	0.6821087556
252	0.6820784178
253	0.6820368268
254	0.6819830163
255	0.6819561185
256	0.6819269376
257	0.6818836836
258	0.6818462659
259	0.6818266789
260	0.6818079083
261	0.681764217
262	0.6817152649
263	0.681668549
264	0.6816457706
265	0.6815997962
266	0.6815606186
267	0.6815165024
268	0.6814764883
269	0.6814318307
270	0.6813978804
271	0.6813751182
272	0.6813272724
273	0.6812789575
274	0.6812467663
275	0.6812095187
276	0.6811534119
277	0.6811272841
278	0.68110606
279	0.6810801668
280	0.6810279296
281	0.68098741
282	0.6809669652
283	0.6809321927
284	0.6808834127
285	0.6808424357
286	0.680798407
287	0.6807580927
288	0.6807071962
289	0.6806805338
290	0.6806390232
291	0.6805895876
292	0.6805473879
293	0.6805065021
294	0.6804602194
295	0.680422747
296	0.6803795404
297	0.6803371935
298	0.6803066002
299	0.6802592858
300	0.6802284738
301	0.6801926785
302	0.6801679424
303	0.680127344
304	0.6800924733
305	0.6800738333
306	0.6800229219
307	0.6799819144
308	0.6799624797
309	0.6799192066
310	0.6799013902
311	0.6798754454
312	0.679833368
313	0.6797824553
314	0.6797604021
315	0.6797136473
316	0.6796685961
317	0.6796216832
318	0.6795899598
319	0.6795589775
320	0.6795297277
321	0.6794918897
322	0.6794511414
323	0.6794290485
324	0.6794008096
325	0.6793788412
326	0.679362559
327	0.6793308333
328	0.6792811174
329	0.6792424701
330	0.6791935016
331	0.6791568466
332	0.6791270626
333	0.6790864079
334	0.6790597478
335	0.679035806
336	0.6790147477
337	0.6789800619
338	0.6789311662
339	0.6789076793
340	0.6788665205
341	0.678830707
342	0.678789577
343	0.6787509729
344	0.6787295237
345	0.6786864059
346	0.6786572892
347	0.6786192679
348	0.6785649656
349	0.6785150328
350	0.6784766261
351	0.6784432863
352	0.678405871
353	0.6783778765
354	0.6783306317
355	0.6783000923
356	0.678250018
357	0.6781997019
358	0.6781837966
359	0.6781399544
360	0.6780976666
361	0.6780584445
362	0.6780289099
363	0.6779871033
364	0.6779433762
365	0.6778997065
366	0.6778785631
367	0.6778562785
368	0.6778110094
369	0.6777708981
370	0.6777430038
371	0.6777042737
372	0.6776811847
373	0.6776370498
374	0.6776004438
375	0.677557299
376	0.6775348073
377	0.6775181208
378	0.6775005955
379	0.6774575199
380	0.6774130543
381	0.6773923306
382	0.6773602588
383	0.6773184103
384	0.6772820313
385	0.677248382
386	0.6772014509
387	0.6771634547
388	0.677129126
389	0.6770969272
390	0.6770595626
391	0.6770408374
392	0.6769958609
393	0.6769631652
394	0.6769339795
395	0.6768921284
396	0.6768505083
397	0.6768099952
398	0.6767664658
399	0.6767371442
400	0.6767037322
401	0.6766731927
402	0.6766274675
403	0.6765968233
404	0.67655868
405	0.6765407369
406	0.6765228931
407	0.6764871821
408	0.6764509788
409	0.6764215473
410	0.6763783628
411	0.6763458302
412	0.6763031324
413	0.6762788699
414	0.6762477656
415	0.6762211725
416	0.6761874668
417	0.6761492952
418	0.676117941
419	0.6760864749
420	0.6760547722
421	0.6760191936
422	0.675979326
423	0.6759573961
424	0.675929819
425	0.6758936274
426	0.6758484739
427	0.6758240769
428	0.6757942545
429	0.6757725833
430	0.6757438981
431	0.6757119852
432	0.67566899
433	0.6756345104
434	0.675599474
435	0.6755720706
436	0.6755408832
437	0.6755275432
438	0.6754912071
439	0.6754728391
440	0.6754362581
441	0.6754049784
442	0.6753593249
443	0.6753368437
444	0.6752945864
445	0.6752663963
446	0.6752310918
447	0.675199648
448	0.6751736975
449	0.675129274
450	0.6750900495
451	0.6750731646
452	0.6750529159
453	0.6750244444
454	0.6749864785
455	0.6749562551
456	0.6749260117
457	0.6748929876
458	0.6748507052
459	0.6748175508
460	0.6747885167
461	0.6747509145
462	0.6747132071
463	0.6746769274
464	0.6746422355
465	0.6746000102
466	0.6745746003
467	0.6745429036
468	0.6745178153
469	0.6744877685
470	0.6744532878
471	0.6744087628
472	0.674384643
