iter	Passed	Remaining
0	3	1669
1	6	1531
2	9	1519
3	12	1509
4	15	1494
5	19	1483
6	22	1479
7	25	1469
8	28	1462
9	31	1458
10	34	1454
11	37	1450
12	40	1448
13	44	1443
14	47	1436
15	50	1433
16	53	1429
17	56	1422
18	59	1419
19	62	1415
20	65	1410
21	68	1405
22	71	1400
23	74	1397
24	77	1394
25	80	1388
26	83	1386
27	86	1378
28	89	1375
29	92	1372
30	95	1368
31	98	1363
32	102	1360
33	105	1358
34	108	1354
35	111	1352
36	114	1349
37	117	1346
38	120	1342
39	123	1339
40	126	1337
41	130	1334
42	133	1330
43	136	1329
44	139	1327
45	142	1325
46	145	1321
47	148	1315
48	151	1312
49	154	1308
50	157	1305
51	160	1299
52	163	1296
53	166	1293
54	169	1290
55	172	1288
56	175	1284
57	179	1281
58	182	1281
59	186	1280
60	189	1281
61	193	1281
62	196	1278
63	200	1279
64	203	1277
65	206	1274
66	210	1272
67	213	1269
68	216	1265
69	219	1262
70	222	1258
71	225	1255
72	228	1252
73	231	1249
74	234	1245
75	237	1243
76	241	1239
77	244	1236
78	247	1232
79	250	1229
80	253	1225
81	256	1221
82	259	1218
83	262	1215
84	265	1211
85	268	1206
86	271	1203
87	274	1200
88	277	1197
89	280	1194
90	283	1191
91	286	1187
92	289	1184
93	293	1181
94	296	1178
95	299	1174
96	302	1171
97	305	1168
98	308	1164
99	311	1161
100	314	1158
101	317	1155
102	320	1152
103	323	1148
104	326	1145
105	329	1142
106	332	1138
107	335	1135
108	338	1131
109	342	1128
110	345	1125
111	348	1121
112	351	1119
113	354	1115
114	357	1112
115	360	1109
116	364	1107
117	367	1105
118	370	1102
119	373	1099
120	377	1098
121	380	1095
122	384	1093
123	387	1090
124	390	1088
125	394	1085
126	397	1082
127	400	1079
128	403	1076
129	406	1072
130	409	1069
131	412	1066
132	415	1063
133	418	1059
134	421	1056
135	425	1053
136	428	1050
137	431	1047
138	434	1044
139	438	1041
140	441	1038
141	444	1035
142	447	1031
143	450	1028
144	453	1025
145	456	1021
146	459	1018
147	462	1015
148	465	1012
149	468	1008
150	471	1005
151	474	1001
152	477	998
153	480	995
154	483	992
155	486	989
156	489	985
157	492	982
158	495	978
159	498	975
160	501	972
161	504	968
162	507	965
163	510	962
164	513	959
165	516	955
166	519	952
167	522	949
168	525	945
169	528	942
170	531	939
171	535	936
172	538	933
